Estado,Municipio,Parroquia,Chavez,Radonski,Sequera,Bolivar,Reyes,Chirino,Valid,Invalid,Total
Carabobo,Guacara,Guacara,42655,28248,410,39,43,18,71413,1286,72699
Carabobo,Guacara,Yagua,5899,4223,41,1,7,4,10175,155,10330
Carabobo,Juan Jose Mora,Moron,25441,8948,143,20,20,25,34597,697,35294
Carabobo,Juan Jose Mora,Urama,3745,1036,14,1,3,3,4802,81,4883
Carabobo,Libertador,U Independencia,14448,5380,99,10,27,10,19974,370,20344
Carabobo,Libertador,U Tocuyito,39460,23774,286,38,38,35,63631,1202,64833
Carabobo,Los Guayos,U Los Guayos,48671,27536,428,47,36,19,76737,1506,78243
Carabobo,Miranda,Miranda,9829,5011,64,5,5,2,14916,272,15188
Carabobo,Montalban,Montalban,7394,5960,46,3,5,2,13410,250,13660
Carabobo,Naguanagua,Naguanagua,32247,48102,301,42,40,29,80761,1179,81940
Carabobo,Puerto Cabello,Bartolome Salom,13691,9480,81,13,4,9,23278,426,23704
Carabobo,Puerto Cabello,Borburata,3215,1506,26,3,2,1,4753,65,4818
Carabobo,Puerto Cabello,Democracia,6914,2362,36,5,5,8,9330,201,9531
Carabobo,Puerto Cabello,Fraternidad,3378,3443,29,3,2,4,6859,101,6960
Carabobo,Puerto Cabello,Goaigoaza,15901,9103,85,15,15,2,25121,450,25571
Carabobo,Puerto Cabello,Juan Jose Flores,22427,13882,136,17,15,15,36492,648,37140
Carabobo,Puerto Cabello,Patanemo,1340,790,17,0,1,0,2148,54,2202
Carabobo,Puerto Cabello,Union,1771,1437,16,2,2,3,3231,62,3293
Carabobo,San Diego,Urb San Diego,14289,36739,184,30,31,9,51282,555,51837
Carabobo,San Joaquin,San Joaquin,18061,12860,151,23,18,9,31122,575,31697
Carabobo,Valencia,Candelaria,9489,10176,103,18,8,8,19802,328,20130
Carabobo,Valencia,Catedral,1275,1776,17,1,4,1,3074,45,3119
Carabobo,Valencia,El Socorro,1240,2639,20,2,2,1,3904,64,3968
Carabobo,Valencia,Miguel Pena,106263,65304,1133,105,95,69,172969,3437,176406
Carabobo,Valencia,Negro Primero,3678,548,28,2,10,5,4271,86,4357
Carabobo,Valencia,Rafael Urdaneta,52795,46677,533,37,48,27,100117,1567,101684
Carabobo,Valencia,San Blas,5916,10497,64,5,4,5,16491,246,16737
