Estado,Municipio,Parroquia,Hugo Chavez,Henrique Capriles Radonski,Reina Sequera,Maria Bolivar,Luis Reyes,Orlando Chirino,Valid votes,Null votes
Falcon,Mons. Iturriza,Boca De Tocuyo,611,505,5,0,0,0,1121,18
Falcon,Los Taques,Judibana,7905,5736,67,7,2,3,13720,254
Falcon,Los Taques,Los Taques,8452,4530,79,2,4,3,13070,324
Falcon,Piritu,Piritu,3487,1134,38,0,3,2,4664,126
Falcon,Piritu,San Jose De La Costa,1435,458,9,2,3,0,1907,50
Falcon,Union,El Charal,1857,567,22,1,3,0,2450,29
Falcon,San Francisco,Mirimire,4603,2203,26,2,2,3,6839,122
Falcon,Jacura,Agua Linda,698,177,5,0,0,0,880,29
Falcon,Jacura,Jacura,2206,1006,25,2,1,1,3241,54
Falcon,Cacique Manaure,Yaracal,3577,2464,30,1,2,0,6074,244
Falcon,Palma Sola,Palma Sola,2482,488,14,1,2,1,2988,46
Falcon,Sucre,Pecaya,1008,211,2,0,1,0,1222,8
Falcon,Urumaco,Urumaco,2336,1446,11,0,0,1,3794,90
Falcon,Urumaco,Bruzual,1163,502,6,0,1,0,1672,16
Falcon,Tocopero,Tocopero,3433,1145,16,0,0,1,4595,128
Guarico,Infante,Espino,2219,538,15,0,4,1,2777,38
Guarico,Infante,Valle De La Pascua,35460,25861,344,35,30,17,61747,994
Guarico,Mellado,El Sombrero,9507,4197,72,5,9,3,13793,269
Guarico,Miranda,Guardatinajas,1826,630,8,0,0,3,2467,42
